[Markers Info]
markers_type: microsatellites
n_individuals: 114
n_markers_initial: 7
n_markers_used: 7

[Heritability Parameters]
n_bootstrap: 1000
ci: 0.95
ddof: 0

[Genetic Summary]
inbreeding_coefficient_F: 1.0
average_observed_heterozygosity: 0.0000
average_expected_heterozygosity: 0.5331

[Runtime & System]
runtime_seconds: 7.7032
python_version: 3.11.5 | packaged by Anaconda, Inc. | (main, Sep 11 2023, 13:26:23) [MSC v.1916 64 bit (AMD64)]
platform: Windows-10-10.0.26100-SP0
user: mauri

